Code	Description	Four_Digit_Code	Four_Digit_Description	Two_Digit_Code	Two_Digit_Description	Definition
830499	Pasture, Browse and Fodder Crops not elsewhere classified	8304	Pasture, Browse and Fodder Crops	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Pasture, Browse and Fodder Crops not elsewhere classified
830501	Eggs	8305	Primary Animal Products	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Primary Animal Products/Eggs
830502	Honey	8305	Primary Animal Products	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Primary Animal Products/Honey
830503	Live Animals	8305	Primary Animal Products	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Primary Animal Products/Live Animals
830504	Pearls	8305	Primary Animal Products	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Primary Animal Products/Pearls
830505	Raw Wool	8305	Primary Animal Products	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Primary Animal Products/Raw Wool
830506	Unprocessed or Minimally Processed Fish	8305	Primary Animal Products	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Primary Animal Products/Unprocessed or Minimally Processed Fish
830507	Unprocessed or Minimally Processed Milk	8305	Primary Animal Products	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Primary Animal Products/Unprocessed or Minimally Processed Milk
830599	Primary Animal Products not elsewhere classified	8305	Primary Animal Products	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Primary Animal Products/Primary Animal Products not elsewhere classified
839801	Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)	8398	Environmentally Sustainable Animal Production	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Environmentally Sustainable Animal Production/Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)
839802	Management of Greenhouse Gas Emissions from Animal Production	8398	Environmentally Sustainable Animal Production	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Environmentally Sustainable Animal Production/Management of Greenhouse Gas Emissions from Animal Production
839803	Management of Liquid Waste from Animal Production (excl. Water)	8398	Environmentally Sustainable Animal Production	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Environmentally Sustainable Animal Production/Management of Liquid Waste from Animal Production (excl. Water)
839804	Management of Solid Waste from Animal Production	8398	Environmentally Sustainable Animal Production	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Environmentally Sustainable Animal Production/Management of Solid Waste from Animal Production
839805	Management of Water Consumption by Animal Production	8398	Environmentally Sustainable Animal Production	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Environmentally Sustainable Animal Production/Management of Water Consumption by Animal Production
839899	Environmentally Sustainable Animal Production not elsewhere classified	8398	Environmentally Sustainable Animal Production	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Environmentally Sustainable Animal Production/Environmentally Sustainable Animal Production not elsewhere classified
839901	Animal Welfare	8399	Other Animal Production and Animal Primary Products	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Other Animal Production and Animal Primary Products/Animal Welfare
839902	Fish Product Traceability and Quality Assurance	8399	Other Animal Production and Animal Primary Products	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Other Animal Production and Animal Primary Products/Fish Product Traceability and Quality Assurance
839903	Livestock Product Traceability and Quality Assurance	8399	Other Animal Production and Animal Primary Products	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Other Animal Production and Animal Primary Products/Livestock Product Traceability and Quality Assurance
839999	Animal Production and Animal Primary Products not elsewhere classified	8399	Other Animal Production and Animal Primary Products	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Other Animal Production and Animal Primary Products/Animal Production and Animal Primary Products not elsewhere classified
840101	Aluminium Ore Exploration	8401	Mineral Exploration	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Aluminium Ore Exploration
840102	Copper Ore Exploration	8401	Mineral Exploration	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Copper Ore Exploration
840103	Diamond Exploration	8401	Mineral Exploration	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Diamond Exploration
840104	Iron Ore Exploration	8401	Mineral Exploration	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Iron Ore Exploration
840105	Precious (Noble) Metal Ore Exploration	8401	Mineral Exploration	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Precious (Noble) Metal Ore Exploration
840106	Stone and Clay Exploration	8401	Mineral Exploration	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Stone and Clay Exploration
840107	Titanium Minerals, Zircon, and Rare Earth Metal Ore (e.g. Monazite) Exploration	8401	Mineral Exploration	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Titanium Minerals, Zircon, and Rare Earth Metal Ore (e.g. Monazite) Exploration
840108	Zinc Ore Exploration	8401	Mineral Exploration	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Zinc Ore Exploration
