Version	Code	Description	Four_Digit_Code	Four_Digit_Description	Two_Digit_Code	Two_Digit_Description	Definition
2.0.0	031507	Air Traffic Control	0315	Aerospace Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Aerospace Engineering and Technology/Air Traffic Control
2.0.0	031599	Aerospace Engineering and Technology not elsewhere classified	0315	Aerospace Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Aerospace Engineering and Technology/Aerospace Engineering and Technology not elsewhere classified
2.0.0	031700	Maritime Engineering and Technology not further defined	0317	Maritime Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Maritime Engineering and Technology/Maritime Engineering and Technology not further defined
2.0.0	031701	Maritime Engineering	0317	Maritime Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Maritime Engineering and Technology/Maritime Engineering
2.0.0	031703	Marine Construction	0317	Maritime Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Maritime Engineering and Technology/Marine Construction
2.0.0	031705	Marine Craft Operation	0317	Maritime Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Maritime Engineering and Technology/Marine Craft Operation
2.0.0	031799	Maritime Engineering and Technology not elsewhere classified	0317	Maritime Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Maritime Engineering and Technology/Maritime Engineering and Technology not elsewhere classified
2.0.0	039900	Other Engineering and Related Technologies not further defined	0399	Other Engineering and Related Technologies	03	Engineering and Related Technologies	Engineering and Related Technologies/Other Engineering and Related Technologies/Other Engineering and Related Technologies not further defined
2.0.0	039901	Environmental Engineering	0399	Other Engineering and Related Technologies	03	Engineering and Related Technologies	Engineering and Related Technologies/Other Engineering and Related Technologies/Environmental Engineering
2.0.0	039902	Orthotics and Prosthetics	0399	Other Engineering and Related Technologies	03	Engineering and Related Technologies	Engineering and Related Technologies/Other Engineering and Related Technologies/Orthotics and Prosthetics
2.0.0	039903	Biomedical Engineering	0399	Other Engineering and Related Technologies	03	Engineering and Related Technologies	Engineering and Related Technologies/Other Engineering and Related Technologies/Biomedical Engineering
2.0.0	039905	Fire Technology and Rescue Services	0399	Other Engineering and Related Technologies	03	Engineering and Related Technologies	Engineering and Related Technologies/Other Engineering and Related Technologies/Fire Technology and Rescue Services
2.0.0	039907	Rail Operations	0399	Other Engineering and Related Technologies	03	Engineering and Related Technologies	Engineering and Related Technologies/Other Engineering and Related Technologies/Rail Operations
2.0.0	039909	Cleaning	0399	Other Engineering and Related Technologies	03	Engineering and Related Technologies	Engineering and Related Technologies/Other Engineering and Related Technologies/Cleaning
2.0.0	039999	Engineering and Related Technologies  not elsewhere classified	0399	Other Engineering and Related Technologies	03	Engineering and Related Technologies	Engineering and Related Technologies/Other Engineering and Related Technologies/Engineering and Related Technologies  not elsewhere classified
2.0.0	040000	Architecture and Building not further defined	0400	Architecture and Building not further defined	04	Architecture and Building	Architecture and Building/Architecture and Building not further defined/Architecture and Building not further defined
2.0.0	040100	Architecture and Urban Environment not further defined	0401	Architecture and Urban Environment	04	Architecture and Building	Architecture and Building/Architecture and Urban Environment/Architecture and Urban Environment not further defined
2.0.0	040101	Architecture	0401	Architecture and Urban Environment	04	Architecture and Building	Architecture and Building/Architecture and Urban Environment/Architecture
2.0.0	040103	Urban Design and Regional Planning	0401	Architecture and Urban Environment	04	Architecture and Building	Architecture and Building/Architecture and Urban Environment/Urban Design and Regional Planning
2.0.0	040105	Landscape Architecture	0401	Architecture and Urban Environment	04	Architecture and Building	Architecture and Building/Architecture and Urban Environment/Landscape Architecture
2.0.0	040107	Interior and Environmental Design	0401	Architecture and Urban Environment	04	Architecture and Building	Architecture and Building/Architecture and Urban Environment/Interior and Environmental Design
2.0.0	040199	Architecture and Urban Environment not elsewhere classified	0401	Architecture and Urban Environment	04	Architecture and Building	Architecture and Building/Architecture and Urban Environment/Architecture and Urban Environment not elsewhere classified
2.0.0	040300	Building not further defined	0403	Building	04	Architecture and Building	Architecture and Building/Building/Building not further defined
2.0.0	040301	Building Science and Technology	0403	Building	04	Architecture and Building	Architecture and Building/Building/Building Science and Technology
2.0.0	040303	Building Construction Management	0403	Building	04	Architecture and Building	Architecture and Building/Building/Building Construction Management
2.0.0	040305	Building Surveying (Inspection)	0403	Building	04	Architecture and Building	Architecture and Building/Building/Building Surveying (Inspection)
2.0.0	040307	Building Construction Economics (including Quantity Surveying)	0403	Building	04	Architecture and Building	Architecture and Building/Building/Building Construction Economics (including Quantity Surveying)
2.0.0	040309	Bricklaying and Stonemasonry	0403	Building	04	Architecture and Building	Architecture and Building/Building/Bricklaying and Stonemasonry
2.0.0	040311	Carpentry and Joinery	0403	Building	04	Architecture and Building	Architecture and Building/Building/Carpentry and Joinery
2.0.0	040313	Ceiling, Wall and Floor Fixing	0403	Building	04	Architecture and Building	Architecture and Building/Building/Ceiling, Wall and Floor Fixing
2.0.0	040315	Roof Fixing	0403	Building	04	Architecture and Building	Architecture and Building/Building/Roof Fixing
2.0.0	040317	Plastering	0403	Building	04	Architecture and Building	Architecture and Building/Building/Plastering
2.0.0	040319	Furnishing Installation	0403	Building	04	Architecture and Building	Architecture and Building/Building/Furnishing Installation
2.0.0	040321	Floor Coverings	0403	Building	04	Architecture and Building	Architecture and Building/Building/Floor Coverings
2.0.0	040323	Glazing	0403	Building	04	Architecture and Building	Architecture and Building/Building/Glazing
2.0.0	040325	Painting, Decorating, Sign Writing and Other Finishes	0403	Building	04	Architecture and Building	Architecture and Building/Building/Painting, Decorating, Sign Writing and Other Finishes
2.0.0	040327	Plumbing, Gasfitting and Drainlaying	0403	Building	04	Architecture and Building	Architecture and Building/Building/Plumbing, Gasfitting and Drainlaying
