Version	Code	Description	Definition	Two_Digit_Code	Two_Digit_Description	Four_Digit_Code	Four_Digit_Description
1.0.0	840201	Mining and Extraction of Aluminium Ores	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Aluminium Ores	84	Mineral Resources (excl. Energy Resources)	8402	Primary Mining and Extraction of Mineral Resources
1.0.0	840202	Mining and Extraction of Copper Ores	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Copper Ores	84	Mineral Resources (excl. Energy Resources)	8402	Primary Mining and Extraction of Mineral Resources
1.0.0	840203	Mining and Extraction of Diamonds	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Diamonds	84	Mineral Resources (excl. Energy Resources)	8402	Primary Mining and Extraction of Mineral Resources
1.0.0	840204	Mining and Extraction of Iron Ores	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Iron Ores	84	Mineral Resources (excl. Energy Resources)	8402	Primary Mining and Extraction of Mineral Resources
1.0.0	840205	Mining and Extraction of Precious (Noble) Metal Ores	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Precious (Noble) Metal Ores	84	Mineral Resources (excl. Energy Resources)	8402	Primary Mining and Extraction of Mineral Resources
1.0.0	840206	Mining and Extraction of Stone and Clay	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Stone and Clay	84	Mineral Resources (excl. Energy Resources)	8402	Primary Mining and Extraction of Mineral Resources
1.0.0	840207	Mining and Extraction of Titanium Minerals, Zircon, and Rare Earth Metal Ores (e.g. Monazite)	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Titanium Minerals, Zircon, and Rare Earth Metal Ores (e.g. Monazite)	84	Mineral Resources (excl. Energy Resources)	8402	Primary Mining and Extraction of Mineral Resources
1.0.0	840208	Mining and Extraction of Zinc Ores	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Zinc Ores	84	Mineral Resources (excl. Energy Resources)	8402	Primary Mining and Extraction of Mineral Resources
1.0.0	840299	Primary Mining and Extraction of Mineral Resources not elsewhere classified	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Primary Mining and Extraction of Mineral Resources not elsewhere classified	84	Mineral Resources (excl. Energy Resources)	8402	Primary Mining and Extraction of Mineral Resources
1.0.0	840301	Alumina Production	Mineral Resources (excl. Energy Resources)/First Stage Treatment of Ores and Minerals/Alumina Production	84	Mineral Resources (excl. Energy Resources)	8403	First Stage Treatment of Ores and Minerals
