Version	Code	Description	Appropriation	AppropriationPeriod	Vote	Scope	EstimateType	StartYear	EndYear	Amount
1.0	00010105-2020-E	Centres of Research Excellence Tertiary Education, 2020	Centres of Research Excellence	A	Tertiary Education	This appropriation is limited to the purchase of cooperative and collaborative tertiary research in areas of research strength in the tertiary education sector through the contestable Centres of Research Excellence Fund.	E	2020	2021	74700000
1.0	00010111-2020-E	Tertiary Education Research and Research-Based Teaching Tertiary Education, 2020	Tertiary Education Research and Research-Based Teaching	A	Tertiary Education	This appropriation is limited to funding research and research-based teaching on the basis of measured research quality in tertiary education organisations and supporting Wananga research capability.	E	2020	2021	321000000
1.0	00010609-2020-E	Crash Analysis Transport, 2020	Crash Analysis	A	Transport	This appropriation is limited to operating the Crash Analysis System and performing associated crash analysis and research activities.	E	2020	2021	775000
1.0	00011912-2021-E	Food Safety: Protecting Consumers: Food Safety Science and Research Agriculture, Biosecurity, Fisheries and Food Safety, 2021	Food Safety: Protecting Consumers: Food Safety Science and Research	A	Agriculture, Biosecurity, Fisheries and Food Safety	This category is limited to the promotion, coordination and delivery of food safety science and research.	E	2021	2022	1600000
1.0	00011612-2021-E	Food Safety: Protecting Consumers: Food Safety: Joint Food Standards Setting Treaty Agriculture, Biosecurity, Fisheries and Food Safety, 2021	Food Safety: Protecting Consumers: Food Safety: Joint Food Standards Setting Treaty	A	Agriculture, Biosecurity, Fisheries and Food Safety	This category is limited to the development of joint food standards, codes of practice, and guidance material for Australia and New Zealand by Food Standards Australia New Zealand in accordance with the Joint Food Standards Setting Treaty.	E	2021	2022	2100000
1.0	00012263-2021-E	Programmes Supporting Sustainability: Climate Change Research Agriculture, Biosecurity, Fisheries and Food Safety, 2021	Programmes Supporting Sustainability: Climate Change Research	A	Agriculture, Biosecurity, Fisheries and Food Safety	This category is limited to obtaining science, research, technology, capacity and capability in climate change related to the primary land-based sectors.	E	2021	2022	11387000
1.0	00012509-2021-E	Programmes Supporting Sustainability: Recovery Assistance Agriculture, Biosecurity, Fisheries and Food Safety, 2021	Programmes Supporting Sustainability: Recovery Assistance	A	Agriculture, Biosecurity, Fisheries and Food Safety	This category is limited to providing recovery assistance to the primary sector to prevent or repair damage or minimise losses or provide professional advice following a response or adverse event such as a fire or biosecurity incursion.	E	2021	2022	4376000
1.0	00010660-2021-E	Callaghan Innovation Business, Science and Innovation, 2021	Callaghan Innovation	A	Business, Science and Innovation	This appropriation is limited to capital expenditure to support the development of Callaghan Innovation’s strategic infrastructure.	E	2021	2022	47935000
1.0	00011827-2021-E	Callaghan Innovation - Operations: Building Business Innovation Business, Science and Innovation, 2021	Callaghan Innovation - Operations: Building Business Innovation	A	Business, Science and Innovation	This category is limited to activities that raise awareness about and increase business investment in Research and Development.	E	2021	2022	34955000
1.0	00011826-2021-E	Callaghan Innovation - Operations: Business Research and Development Contract Management Business, Science and Innovation, 2021	Callaghan Innovation - Operations: Business Research and Development Contract Management	A	Business, Science and Innovation	This category is limited to selection of businesses or individuals for either the provision of Research Science and Technology output, or the award of grants, and to negotiate, manage and monitor appropriate contracts with these businesses or individuals.	E	2021	2022	7750000
1.0	00011828-2021-E	Callaghan Innovation - Operations: Research and Development Services and Facilities for Business and Industry Business, Science and Innovation, 2021	Callaghan Innovation - Operations: Research and Development Services and Facilities for Business and Industry	A	Business, Science and Innovation	This category is limited to providing research and technical expertise and facilities to business and industry.	E	2021	2022	37118000
